tenure,MonthlyCharges,TotalCharges,Contract,InternetService,TechSupport,PaperlessBilling,PaymentMethod,SeniorCitizen,Partner,Dependents,Churn
72,631.35,45516.42,Month-to-month,DSL,No,No,Credit card,0,No,No,0
32,737.23,23682.34,Month-to-month,No,No,Yes,Electronic check,0,Yes,No,0
19,294.97,5674.23,One year,DSL,No,Yes,Bank transfer,0,No,No,1
22,558.24,12324.27,Month-to-month,DSL,No,No,Electronic check,0,Yes,No,1
13,1089.46,14112.7,Month-to-month,Fiber optic,No,No,Mailed check,0,Yes,No,1
6,1284.67,7687.6,Month-to-month,Fiber optic,Yes,Yes,Electronic check,0,No,No,1
10,429.7,4307.45,One year,No,No,Yes,Mailed check,0,No,No,0
34,622.26,21125.24,One year,DSL,No,Yes,Electronic check,0,Yes,No,0
0,792.08,28.86,One year,Fiber optic,No,Yes,Mailed check,0,No,Yes,0
2,884.05,1804.12,Month-to-month,No,No,Yes,Mailed check,0,No,No,1
1,557.12,583.93,Month-to-month,No,No,Yes,Electronic check,0,No,No,1
0,927.22,51.26,Month-to-month,DSL,Yes,No,Bank transfer,0,Yes,No,0
46,657.85,30215.79,Month-to-month,Fiber optic,No,Yes,Credit card,0,No,Yes,1
29,795.66,23120.91,Month-to-month,Fiber optic,No,No,Mailed check,0,No,No,1
15,963.89,14423.5,Month-to-month,DSL,No,No,Electronic check,0,Yes,No,1
2,801.93,1556.81,Month-to-month,No,Yes,Yes,Electronic check,0,No,Yes,1
16,669.08,10731.95,Two year,No,No,No,Credit card,0,No,No,1
15,767.12,11567.55,Two year,DSL,No,Yes,Bank transfer,0,No,No,0
4,773.49,3118.37,Month-to-month,DSL,Yes,No,Mailed check,0,No,No,0
13,689.0,8958.0,Month-to-month,DSL,No,Yes,Electronic check,0,No,No,1
12,722.36,8683.84,Month-to-month,No,Yes,Yes,Mailed check,0,No,No,0
22,1279.59,28157.89,Month-to-month,DSL,No,No,Electronic check,0,No,No,1
24,968.28,23182.32,Two year,Fiber optic,No,Yes,Credit card,0,No,No,0
1,711.36,649.22,Month-to-month,Fiber optic,No,No,Credit card,1,No,No,1
11,1009.09,11096.01,One year,Fiber optic,No,No,Electronic check,0,Yes,No,1
23,699.85,16100.64,Month-to-month,DSL,Yes,Yes,Mailed check,0,Yes,No,0
16,1151.94,18431.56,Two year,DSL,No,Yes,Electronic check,0,No,No,0
46,910.89,41934.87,Month-to-month,No,No,Yes,Mailed check,0,Yes,Yes,1
25,767.81,19184.46,One year,No,Yes,No,Credit card,0,No,Yes,0
4,934.32,3765.41,Month-to-month,Fiber optic,No,No,Mailed check,0,No,No,0
1,328.74,321.51,One year,DSL,No,Yes,Electronic check,0,No,No,1
24,461.97,11178.44,Month-to-month,DSL,Yes,Yes,Electronic check,1,No,No,1
0,441.82,4.04,Month-to-month,Fiber optic,Yes,No,Credit card,0,No,Yes,1
21,842.88,17817.58,Two year,DSL,Yes,Yes,Bank transfer,0,Yes,No,0
67,1319.75,88441.15,Two year,No,No,No,Mailed check,0,No,No,0
20,1469.39,29377.12,Two year,Fiber optic,No,No,Electronic check,1,Yes,No,0
11,991.42,10860.6,One year,DSL,No,No,Electronic check,0,Yes,Yes,1
24,950.25,22733.94,Two year,No,No,Yes,Credit card,0,Yes,No,0
14,259.68,3585.99,Month-to-month,No,No,Yes,Mailed check,0,Yes,Yes,1
18,637.2,11425.58,Month-to-month,DSL,No,Yes,Mailed check,0,Yes,Yes,1
68,563.66,38348.95,Month-to-month,Fiber optic,Yes,Yes,Mailed check,0,Yes,No,0
11,613.75,6724.89,One year,DSL,No,No,Credit card,0,No,Yes,0
72,749.56,53977.44,Month-to-month,Fiber optic,No,Yes,Electronic check,0,No,Yes,1
56,658.37,36932.98,Month-to-month,DSL,No,No,Electronic check,0,Yes,No,0
5,206.21,1026.66,One year,Fiber optic,No,Yes,Bank transfer,0,Yes,Yes,0
1,1024.37,1128.33,Two year,No,No,Yes,Bank transfer,0,No,No,0
2,478.18,897.56,Month-to-month,Fiber optic,No,Yes,Bank transfer,0,No,Yes,1
0,871.77,0.0,Month-to-month,DSL,Yes,No,Credit card,0,No,No,1
2,1422.22,2817.48,Month-to-month,Fiber optic,No,Yes,Mailed check,0,Yes,No,0
27,524.18,14199.81,Month-to-month,DSL,Yes,Yes,Electronic check,0,No,Yes,1
1,200.0,88.01,Month-to-month,No,No,No,Credit card,0,No,No,1
9,714.2,6355.63,One year,Fiber optic,Yes,Yes,Mailed check,0,No,No,1
44,1130.29,49727.3,One year,DSL,Yes,Yes,Bank transfer,0,Yes,Yes,0
0,1387.5,77.57,One year,DSL,No,Yes,Bank transfer,1,Yes,No,0
40,431.14,17256.7,Month-to-month,Fiber optic,No,Yes,Mailed check,0,Yes,Yes,1
7,949.01,6575.49,Two year,DSL,Yes,No,Electronic check,0,Yes,Yes,0
3,660.41,1921.36,Month-to-month,Fiber optic,No,Yes,Bank transfer,0,No,Yes,1
28,768.22,21593.68,Month-to-month,DSL,No,Yes,Credit card,0,No,No,1
23,1593.3,36614.91,Two year,DSL,Yes,Yes,Bank transfer,0,No,No,0
50,349.11,17408.3,Month-to-month,Fiber optic,No,No,Mailed check,0,No,No,0
31,876.12,27233.65,Month-to-month,No,No,Yes,Electronic check,0,No,No,1
39,940.31,36722.56,Two year,No,No,No,Electronic check,1,Yes,No,0
7,1125.74,7943.85,Month-to-month,DSL,No,Yes,Electronic check,0,No,No,1
4,829.39,3270.08,One year,Fiber optic,No,Yes,Electronic check,0,No,No,1
33,892.42,29373.45,Month-to-month,DSL,No,No,Credit card,1,Yes,No,1
39,682.51,26624.37,One year,Fiber optic,Yes,Yes,Credit card,1,Yes,Yes,0
72,880.74,63429.9,Month-to-month,Fiber optic,Yes,No,Bank transfer,0,No,No,0
12,697.04,8382.74,Month-to-month,No,No,Yes,Mailed check,0,No,No,0
11,986.47,10925.1,One year,No,No,No,Electronic check,0,Yes,No,1
35,689.12,24032.4,Month-to-month,Fiber optic,No,Yes,Credit card,0,No,No,1
10,913.13,9174.29,Month-to-month,Fiber optic,Yes,No,Mailed check,0,No,No,0
64,791.22,50583.32,Month-to-month,No,Yes,Yes,Electronic check,0,No,No,0
46,1137.82,52382.28,Month-to-month,No,No,Yes,Mailed check,0,Yes,No,0
13,784.58,10175.82,Month-to-month,DSL,No,Yes,Credit card,0,Yes,No,1
33,268.09,8806.28,Month-to-month,DSL,Yes,Yes,Credit card,0,No,Yes,0
33,1178.58,38862.53,Two year,Fiber optic,No,Yes,Electronic check,0,No,No,0
2,528.28,984.28,Month-to-month,DSL,No,Yes,Credit card,0,Yes,No,1
55,603.87,33214.88,Month-to-month,DSL,No,Yes,Electronic check,0,Yes,No,1
16,621.3,9902.19,Month-to-month,DSL,No,No,Electronic check,0,Yes,No,1
42,1212.33,50957.23,Month-to-month,Fiber optic,No,No,Credit card,0,Yes,No,1
9,200.0,1832.0,Two year,DSL,No,No,Credit card,0,No,Yes,0
54,1741.32,94115.93,Month-to-month,DSL,No,Yes,Bank transfer,0,No,No,0
11,1116.82,12303.3,Two year,DSL,No,Yes,Bank transfer,0,Yes,No,1
0,866.97,26.03,Month-to-month,No,No,Yes,Credit card,0,Yes,No,1
56,783.53,43947.79,One year,No,No,No,Credit card,0,No,No,0
2,885.67,1739.95,Month-to-month,Fiber optic,No,Yes,Credit card,0,Yes,Yes,1
9,956.34,8532.62,Two year,Fiber optic,No,Yes,Bank transfer,0,No,No,0
71,993.56,70553.1,One year,No,No,No,Credit card,0,No,No,0
72,966.68,69529.92,Month-to-month,DSL,No,Yes,Credit card,0,No,No,0
20,826.87,16660.18,Month-to-month,DSL,Yes,No,Electronic check,0,Yes,No,1
23,740.8,17111.14,Month-to-month,DSL,Yes,No,Credit card,0,Yes,No,0
14,754.62,10672.85,Two year,DSL,No,Yes,Mailed check,0,No,No,0
8,741.53,5935.34,Month-to-month,Fiber optic,No,Yes,Mailed check,0,Yes,No,1
9,1140.13,10288.71,Month-to-month,No,No,Yes,Bank transfer,0,Yes,No,1
26,978.07,25406.77,One year,Fiber optic,No,No,Electronic check,0,No,No,0
33,200.0,6644.15,Month-to-month,Fiber optic,No,Yes,Mailed check,0,No,No,0
37,996.77,36819.72,Two year,No,No,No,Credit card,0,No,No,0
37,858.42,31634.42,One year,DSL,Yes,Yes,Electronic check,1,Yes,Yes,0
2,794.39,1549.24,One year,DSL,No,Yes,Mailed check,1,No,No,1
16,683.44,10862.34,Two year,Fiber optic,No,Yes,Credit card,0,No,Yes,0
1,1137.23,1211.13,Month-to-month,Fiber optic,Yes,No,Mailed check,0,Yes,Yes,1
19,1084.26,20691.68,Month-to-month,DSL,No,Yes,Mailed check,0,No,No,1
13,568.14,7315.63,Month-to-month,Fiber optic,No,No,Mailed check,1,Yes,No,1
52,922.12,48014.6,Month-to-month,Fiber optic,Yes,Yes,Mailed check,0,Yes,No,0
10,508.5,5132.6,One year,Fiber optic,Yes,Yes,Bank transfer,0,Yes,Yes,0
2,386.11,693.74,Two year,Fiber optic,No,No,Credit card,0,No,No,0
3,611.98,1816.44,Month-to-month,DSL,No,No,Mailed check,0,No,No,1
34,1058.72,35967.41,Month-to-month,DSL,Yes,Yes,Credit card,0,Yes,No,1
23,1085.94,25013.96,Two year,Fiber optic,Yes,Yes,Mailed check,0,Yes,No,0
2,953.93,1846.41,Month-to-month,DSL,No,No,Electronic check,0,Yes,No,0
2,1017.53,2030.11,Month-to-month,No,No,Yes,Bank transfer,0,Yes,Yes,1
28,954.85,26701.6,Month-to-month,Fiber optic,No,Yes,Bank transfer,1,Yes,No,1
1,607.56,631.22,Two year,DSL,Yes,No,Bank transfer,0,Yes,No,0
41,929.58,38101.81,One year,Fiber optic,No,Yes,Electronic check,0,Yes,No,1
29,1040.12,30136.8,One year,Fiber optic,No,Yes,Electronic check,0,No,Yes,0
2,1026.29,2041.91,Two year,DSL,No,Yes,Electronic check,0,No,No,0
2,1156.67,2415.15,Month-to-month,No,No,No,Electronic check,0,No,No,0
72,1012.49,72878.52,Month-to-month,No,No,No,Bank transfer,0,Yes,Yes,0
11,905.43,9907.73,Two year,Fiber optic,No,Yes,Electronic check,0,Yes,No,0
11,1121.05,12360.67,Month-to-month,DSL,No,Yes,Bank transfer,0,Yes,No,0
40,792.04,31674.57,One year,Fiber optic,No,Yes,Electronic check,0,Yes,No,1
70,535.44,37409.87,Two year,Fiber optic,No,No,Electronic check,1,Yes,No,0
72,751.08,54189.33,One year,DSL,No,Yes,Mailed check,0,No,Yes,0
33,576.53,19007.84,One year,DSL,No,No,Electronic check,0,No,No,1
11,597.45,6553.02,Two year,No,Yes,Yes,Credit card,0,Yes,No,1
2,756.64,1521.28,Two year,DSL,No,No,Electronic check,0,Yes,No,0
36,562.27,20328.37,Month-to-month,Fiber optic,Yes,Yes,Mailed check,0,No,No,0
19,707.61,13360.63,Month-to-month,Fiber optic,No,No,Credit card,0,Yes,Yes,1
13,231.92,3028.7,Month-to-month,Fiber optic,Yes,Yes,Bank transfer,0,No,No,1
56,863.99,48487.7,One year,DSL,No,Yes,Electronic check,0,No,No,0
2,800.36,1607.16,Month-to-month,No,No,No,Mailed check,0,No,Yes,1
16,554.87,8816.21,One year,Fiber optic,No,No,Bank transfer,0,Yes,No,1
0,997.77,0.0,Month-to-month,Fiber optic,No,Yes,Credit card,1,Yes,No,1
15,1081.27,16229.41,One year,Fiber optic,No,No,Credit card,0,Yes,No,0
1,317.73,384.27,Month-to-month,Fiber optic,No,Yes,Electronic check,0,No,No,1
3,571.18,1696.58,One year,No,No,No,Credit card,0,No,No,1
3,569.26,1749.1,Month-to-month,Fiber optic,Yes,Yes,Electronic check,0,No,No,0
25,518.03,12878.96,Month-to-month,Fiber optic,No,Yes,Electronic check,0,No,Yes,1
32,1048.84,33490.77,Month-to-month,No,No,Yes,Credit card,1,No,No,0
21,741.85,15554.76,One year,Fiber optic,Yes,Yes,Electronic check,0,No,Yes,1
72,720.65,51958.38,Month-to-month,DSL,No,No,Electronic check,0,No,No,0
11,200.0,2203.44,Month-to-month,DSL,No,Yes,Electronic check,0,No,Yes,1
8,990.63,7939.49,Two year,No,No,Yes,Mailed check,0,No,Yes,1
48,428.22,20568.58,One year,Fiber optic,No,Yes,Bank transfer,0,Yes,Yes,0
6,817.98,4963.34,Two year,Fiber optic,No,No,Bank transfer,0,No,No,0
72,883.21,63560.83,Month-to-month,Fiber optic,Yes,Yes,Electronic check,0,Yes,No,0
0,1208.2,34.41,Month-to-month,DSL,Yes,Yes,Mailed check,1,Yes,No,1
72,407.35,29287.94,Two year,Fiber optic,No,No,Credit card,0,No,Yes,0
1,200.0,299.16,Month-to-month,DSL,Yes,Yes,Credit card,0,No,No,0
53,855.15,45283.19,One year,Fiber optic,Yes,No,Electronic check,0,No,No,0
18,1340.15,24078.64,Month-to-month,Fiber optic,No,No,Credit card,0,Yes,No,0
72,1171.68,84388.72,Month-to-month,Fiber optic,No,Yes,Bank transfer,0,No,No,1
1,862.9,866.89,Month-to-month,Fiber optic,No,No,Electronic check,0,Yes,No,1
19,652.51,12414.02,Month-to-month,No,No,No,Electronic check,0,No,No,1
72,1042.14,75045.21,Month-to-month,Fiber optic,No,Yes,Electronic check,0,Yes,Yes,0
17,507.94,8580.39,Month-to-month,DSL,No,Yes,Bank transfer,0,No,Yes,1
23,942.91,21767.54,Two year,DSL,No,No,Electronic check,0,No,No,0
28,951.64,26690.63,Month-to-month,Fiber optic,No,Yes,Mailed check,0,Yes,No,0
14,1118.06,15720.83,One year,No,No,No,Electronic check,1,No,Yes,0
23,1627.9,37415.24,Two year,No,No,Yes,Credit card,0,No,No,0
21,917.72,19293.05,One year,No,Yes,Yes,Electronic check,0,Yes,No,0
55,647.31,35611.97,Month-to-month,DSL,No,Yes,Credit card,0,Yes,No,0
1,792.33,848.73,One year,Fiber optic,No,Yes,Credit card,0,Yes,No,1
7,269.28,1942.95,One year,Fiber optic,No,Yes,Electronic check,0,Yes,Yes,0
72,591.59,42603.85,One year,DSL,No,No,Mailed check,0,No,No,0
53,677.22,35816.51,One year,DSL,No,No,Electronic check,1,No,Yes,0
14,642.77,9087.81,Two year,No,Yes,No,Credit card,1,Yes,No,0
23,845.71,19479.05,One year,DSL,Yes,No,Mailed check,0,Yes,Yes,0
7,553.27,3842.5,Month-to-month,DSL,No,No,Electronic check,0,No,No,1
5,1136.31,5701.87,One year,DSL,No,Yes,Electronic check,0,Yes,No,0
14,800.06,11125.31,Month-to-month,No,Yes,No,Mailed check,0,Yes,No,0
10,797.21,8024.87,Two year,Fiber optic,No,Yes,Credit card,0,Yes,Yes,0
21,701.63,14660.7,Month-to-month,Fiber optic,Yes,No,Bank transfer,0,No,Yes,1
1,846.56,835.52,Month-to-month,No,No,No,Credit card,0,No,Yes,1
72,1047.53,75434.35,Two year,DSL,Yes,Yes,Mailed check,0,No,No,0
72,539.86,38921.93,One year,Fiber optic,No,Yes,Electronic check,0,Yes,No,0
28,602.57,16877.15,Month-to-month,DSL,No,Yes,Credit card,0,No,No,1
18,708.88,12791.63,Month-to-month,DSL,No,Yes,Electronic check,0,No,Yes,1
8,396.24,3168.5,Two year,No,No,Yes,Credit card,0,No,Yes,0
40,554.22,22167.3,Month-to-month,Fiber optic,No,Yes,Mailed check,0,Yes,Yes,0
27,657.13,17746.88,Two year,Fiber optic,No,Yes,Electronic check,0,No,No,0
4,1062.32,4239.81,Month-to-month,Fiber optic,No,No,Bank transfer,0,No,No,1
58,878.77,50884.24,One year,Fiber optic,No,No,Credit card,0,Yes,No,1
41,858.08,35142.74,Two year,DSL,No,No,Credit card,0,Yes,No,0
71,1055.27,74936.37,Month-to-month,DSL,No,No,Electronic check,0,No,Yes,0
31,758.79,23509.99,Month-to-month,DSL,No,Yes,Electronic check,0,No,Yes,1
22,917.14,20169.28,Month-to-month,DSL,Yes,Yes,Bank transfer,0,No,No,0
13,769.03,9981.27,One year,No,No,No,Bank transfer,0,No,No,0
64,879.61,56251.78,Month-to-month,DSL,Yes,No,Bank transfer,1,No,No,0
48,625.17,29983.62,One year,DSL,Yes,Yes,Electronic check,0,Yes,Yes,0
1,200.0,184.66,Month-to-month,Fiber optic,Yes,No,Credit card,1,Yes,Yes,1
0,759.72,0.26,Month-to-month,No,Yes,No,Bank transfer,1,No,Yes,0
11,1226.82,13514.74,Month-to-month,DSL,Yes,No,Credit card,0,Yes,Yes,0
39,1077.86,42027.69,Month-to-month,DSL,No,No,Mailed check,0,Yes,Yes,0
72,1089.62,78401.1,One year,Fiber optic,Yes,Yes,Mailed check,0,No,No,0
3,1170.84,3442.61,Two year,Fiber optic,No,No,Credit card,0,No,Yes,0
21,826.6,17488.41,One year,Fiber optic,Yes,No,Bank transfer,0,Yes,Yes,1
11,859.19,9394.65,Month-to-month,No,No,Yes,Credit card,0,Yes,No,0
72,614.7,44232.79,Two year,No,No,No,Credit card,0,Yes,No,0
44,705.18,31053.69,One year,Fiber optic,No,Yes,Bank transfer,0,Yes,No,0
43,984.73,42361.49,Two year,Fiber optic,No,Yes,Mailed check,0,No,No,0
15,1161.17,17443.52,Month-to-month,Fiber optic,No,Yes,Electronic check,1,Yes,No,1
12,758.17,9075.86,Month-to-month,DSL,No,Yes,Electronic check,0,No,Yes,1
7,664.94,4666.53,Month-to-month,No,Yes,Yes,Electronic check,0,No,No,0
1,800.16,803.23,One year,Fiber optic,No,No,Electronic check,0,No,Yes,1
48,980.36,47041.77,Month-to-month,DSL,No,Yes,Electronic check,0,Yes,Yes,0
40,366.84,14686.01,Month-to-month,Fiber optic,No,Yes,Electronic check,0,No,No,1
72,200.0,14452.77,Month-to-month,DSL,No,Yes,Mailed check,1,Yes,No,0
72,634.84,45707.29,One year,Fiber optic,No,Yes,Mailed check,0,Yes,No,0
19,433.79,8241.16,One year,Fiber optic,No,No,Electronic check,1,No,No,1
35,647.56,22717.94,Month-to-month,Fiber optic,No,No,Electronic check,0,No,No,0
69,755.67,52189.02,Month-to-month,No,No,No,Bank transfer,0,No,No,0
45,664.03,29960.34,One year,DSL,Yes,No,Mailed check,0,Yes,No,1
6,1235.74,7326.63,Two year,Fiber optic,No,Yes,Mailed check,0,Yes,No,0
14,898.02,12617.58,One year,Fiber optic,No,No,Bank transfer,1,No,No,0
3,890.14,2700.51,Two year,Fiber optic,Yes,No,Credit card,0,No,Yes,0
72,986.66,70995.39,One year,Fiber optic,Yes,Yes,Mailed check,0,No,No,0
22,458.35,10096.28,One year,Fiber optic,No,No,Bank transfer,0,No,No,1
6,1111.73,6722.96,Month-to-month,Fiber optic,No,No,Credit card,0,Yes,Yes,1
26,777.27,20167.58,One year,DSL,Yes,No,Credit card,0,No,No,0
23,1001.14,23048.44,One year,No,No,Yes,Mailed check,0,Yes,No,1
10,478.44,4828.0,One year,Fiber optic,Yes,No,Bank transfer,0,No,Yes,0
2,333.87,614.19,Month-to-month,Fiber optic,No,Yes,Electronic check,0,No,Yes,1
26,1045.37,27172.43,Month-to-month,DSL,No,Yes,Bank transfer,0,No,No,1
17,912.92,15534.74,Month-to-month,DSL,No,Yes,Credit card,0,No,No,1
35,529.38,18488.65,Month-to-month,Fiber optic,No,Yes,Mailed check,0,Yes,No,1
17,539.1,9120.76,Month-to-month,No,No,Yes,Credit card,1,No,Yes,0
45,1137.63,51186.62,Two year,Fiber optic,No,Yes,Mailed check,0,Yes,Yes,0
19,443.18,8460.43,Month-to-month,No,Yes,No,Credit card,0,Yes,No,1
19,1292.8,24595.42,Month-to-month,Fiber optic,No,No,Bank transfer,1,Yes,No,0
50,529.81,26447.62,Month-to-month,Fiber optic,No,No,Electronic check,0,No,No,1
12,991.52,11930.82,One year,DSL,No,Yes,Bank transfer,0,Yes,No,1
3,701.41,2062.45,Month-to-month,No,No,Yes,Electronic check,0,Yes,No,1
0,980.96,0.0,Month-to-month,DSL,Yes,No,Electronic check,0,No,Yes,1
33,636.77,20994.91,One year,No,Yes,Yes,Credit card,0,No,Yes,0
23,751.16,17332.88,Month-to-month,No,Yes,No,Electronic check,0,Yes,No,0
29,812.28,23588.79,Two year,No,No,No,Credit card,0,Yes,No,0
5,499.34,2496.64,Two year,Fiber optic,No,Yes,Electronic check,0,No,No,1
3,1022.25,3045.91,Month-to-month,Fiber optic,No,No,Electronic check,0,No,No,1
0,646.04,0.0,Month-to-month,Fiber optic,No,No,Credit card,0,Yes,No,0
10,731.42,7319.64,One year,DSL,No,Yes,Mailed check,0,No,Yes,1
21,501.7,10482.18,Month-to-month,Fiber optic,No,Yes,Bank transfer,0,No,Yes,1
11,200.0,2182.59,Month-to-month,DSL,Yes,Yes,Bank transfer,0,No,Yes,1
13,742.69,9644.21,Month-to-month,Fiber optic,No,Yes,Bank transfer,0,No,Yes,1
56,1523.78,85264.39,Two year,DSL,Yes,Yes,Credit card,0,No,No,0
10,1035.38,10311.89,Month-to-month,DSL,Yes,Yes,Bank transfer,1,No,Yes,0
17,794.22,13522.3,One year,Fiber optic,No,Yes,Mailed check,1,Yes,Yes,0
36,721.13,25961.25,One year,Fiber optic,No,No,Credit card,0,No,No,1
12,806.74,9665.44,Month-to-month,Fiber optic,No,Yes,Electronic check,0,No,No,1
23,964.14,22129.55,Month-to-month,DSL,No,Yes,Mailed check,0,Yes,No,0
47,445.76,21029.38,Two year,Fiber optic,No,Yes,Credit card,1,No,No,0
71,1134.3,80493.15,Month-to-month,DSL,No,Yes,Bank transfer,0,Yes,No,0
3,1014.61,3056.42,One year,Fiber optic,No,Yes,Credit card,0,Yes,No,0
62,1015.46,62933.86,Month-to-month,Fiber optic,No,Yes,Bank transfer,0,Yes,Yes,0
16,931.54,14906.5,Month-to-month,Fiber optic,No,Yes,Credit card,0,No,Yes,0
7,805.88,5664.08,Month-to-month,Fiber optic,Yes,No,Credit card,0,No,No,1
14,1001.86,13957.5,Month-to-month,DSL,No,No,Electronic check,0,Yes,No,0
72,977.54,70382.85,Month-to-month,Fiber optic,No,Yes,Electronic check,0,No,No,1
16,693.79,11160.14,Two year,Fiber optic,No,Yes,Mailed check,0,Yes,Yes,0
9,627.92,5739.35,Month-to-month,Fiber optic,No,No,Bank transfer,0,No,No,1
24,830.56,19926.86,Month-to-month,Fiber optic,No,No,Electronic check,0,No,No,1
6,1264.71,7590.32,Month-to-month,DSL,Yes,Yes,Electronic check,0,No,No,1
1,428.27,538.83,One year,Fiber optic,No,No,Electronic check,0,No,Yes,1
3,359.74,1135.97,Month-to-month,Fiber optic,No,Yes,Credit card,0,Yes,No,1
3,849.43,2517.42,One year,DSL,Yes,Yes,Bank transfer,0,No,No,0
3,815.27,2414.85,Month-to-month,DSL,No,No,Mailed check,0,No,No,1
3,852.0,2603.83,Month-to-month,DSL,No,No,Electronic check,0,Yes,Yes,1
24,873.19,20905.91,Month-to-month,No,Yes,No,Mailed check,0,No,No,0
4,733.04,2986.54,Two year,Fiber optic,No,Yes,Electronic check,0,No,Yes,0
10,1246.96,12486.31,Month-to-month,DSL,No,Yes,Electronic check,0,Yes,Yes,0
54,319.73,17291.24,Month-to-month,Fiber optic,No,Yes,Credit card,0,No,No,1
15,551.45,8258.93,Month-to-month,Fiber optic,No,Yes,Credit card,0,No,Yes,1
26,769.02,19963.12,Two year,No,Yes,No,Electronic check,0,No,No,0
4,307.04,1301.27,Month-to-month,DSL,Yes,No,Electronic check,0,Yes,No,1
5,747.24,3723.88,Month-to-month,DSL,No,No,Electronic check,0,Yes,Yes,0
1,1298.44,1277.89,Month-to-month,No,No,No,Mailed check,0,Yes,No,1
4,806.27,3221.06,Month-to-month,DSL,No,Yes,Electronic check,0,No,No,1
7,869.21,6094.12,One year,DSL,No,No,Electronic check,0,No,Yes,0
4,421.95,1636.26,One year,No,No,No,Electronic check,0,No,No,0
2,615.09,1201.94,Month-to-month,Fiber optic,No,Yes,Bank transfer,0,Yes,No,1
3,687.44,2031.42,Month-to-month,DSL,Yes,No,Bank transfer,1,Yes,No,0
14,704.69,9907.86,Month-to-month,DSL,Yes,Yes,Bank transfer,1,No,Yes,0
5,1184.49,5878.17,Month-to-month,DSL,Yes,No,Mailed check,0,No,No,0
10,967.31,9585.28,Month-to-month,DSL,No,Yes,Credit card,0,No,Yes,0
16,466.56,7366.65,One year,No,Yes,Yes,Credit card,0,No,No,0
28,873.95,24397.12,Two year,Fiber optic,No,No,Electronic check,0,No,No,0
0,949.47,68.08,Two year,Fiber optic,No,No,Electronic check,0,No,No,0
38,1142.04,43398.51,Two year,No,No,Yes,Mailed check,0,No,No,1
23,1274.16,29330.79,One year,Fiber optic,No,Yes,Electronic check,1,Yes,No,0
2,495.47,1017.77,One year,DSL,No,Yes,Mailed check,0,No,No,1
49,556.74,27283.2,Month-to-month,Fiber optic,No,Yes,Bank transfer,0,No,No,0
60,422.73,25359.86,One year,No,No,No,Mailed check,0,Yes,No,1
1,729.79,782.02,Month-to-month,No,No,No,Electronic check,0,Yes,Yes,1
7,939.91,6586.65,Month-to-month,DSL,No,Yes,Mailed check,1,Yes,Yes,1
39,1096.2,42821.77,One year,Fiber optic,No,No,Credit card,0,No,No,0
33,777.21,25679.13,Month-to-month,Fiber optic,No,Yes,Electronic check,0,Yes,No,1
4,704.05,2785.29,Month-to-month,No,No,No,Bank transfer,0,Yes,Yes,1
5,845.53,4202.78,Two year,DSL,No,Yes,Electronic check,0,No,Yes,0
11,549.46,6007.66,Month-to-month,Fiber optic,No,Yes,Electronic check,0,Yes,Yes,1
15,1426.86,21463.8,Month-to-month,No,No,No,Bank transfer,0,No,No,1
23,317.7,7286.89,Two year,Fiber optic,No,Yes,Electronic check,0,No,No,0
11,855.42,9369.72,One year,Fiber optic,No,No,Electronic check,0,No,No,1
14,1407.08,19715.14,Month-to-month,DSL,No,No,Electronic check,0,Yes,No,0
33,802.04,26462.46,Month-to-month,DSL,No,Yes,Bank transfer,0,Yes,No,0
0,742.99,14.73,Month-to-month,DSL,No,Yes,Bank transfer,1,Yes,No,1
6,692.77,4251.09,Two year,No,No,No,Electronic check,0,No,Yes,0
29,745.88,21676.25,One year,DSL,Yes,No,Bank transfer,0,No,Yes,0
54,1211.85,65441.5,Month-to-month,Fiber optic,No,Yes,Electronic check,1,Yes,No,0
17,200.0,3329.58,Month-to-month,Fiber optic,No,Yes,Bank transfer,1,No,No,1
18,1260.03,22655.54,Month-to-month,DSL,Yes,No,Mailed check,0,Yes,No,1
2,372.81,781.18,Two year,Fiber optic,No,Yes,Bank transfer,0,No,No,0
14,720.0,10021.51,Month-to-month,Fiber optic,No,Yes,Credit card,0,No,No,1
18,671.23,12189.13,One year,No,No,Yes,Credit card,0,No,Yes,1
6,976.57,5860.12,Month-to-month,Fiber optic,No,No,Electronic check,0,No,Yes,1
7,320.56,2246.38,One year,Fiber optic,No,No,Credit card,0,No,No,1
11,938.65,10291.84,Two year,DSL,No,No,Electronic check,0,No,No,0
0,1407.29,24.84,One year,No,No,No,Credit card,0,No,No,0
9,391.05,3461.53,Month-to-month,DSL,Yes,No,Electronic check,1,No,No,1
5,856.91,4392.8,One year,Fiber optic,No,Yes,Mailed check,0,No,No,1
9,601.41,5478.52,One year,DSL,No,No,Electronic check,0,No,No,1
3,927.77,2832.51,Month-to-month,No,No,Yes,Electronic check,0,No,Yes,1
53,805.74,42634.93,Two year,Fiber optic,No,No,Bank transfer,1,No,Yes,0
21,607.55,12768.9,One year,Fiber optic,No,Yes,Credit card,0,No,Yes,1
27,946.36,25612.22,Two year,DSL,No,Yes,Bank transfer,0,Yes,No,0
37,1341.3,49657.92,One year,Fiber optic,No,No,Bank transfer,1,Yes,Yes,0
16,742.73,11833.56,Month-to-month,Fiber optic,No,No,Bank transfer,0,Yes,No,1
2,1015.93,1999.35,Month-to-month,Fiber optic,No,Yes,Electronic check,0,No,No,1
